Count,Datetime,Battery Percent,Current Capacity
1,2024-05-20 06:21:32,100%,3824mAh
2,2024-05-20 06:31:33,99%,3627mAh
3,2024-05-20 06:32:34,98%,3608mAh
4,2024-05-20 06:34:31,97%,3569mAh
5,2024-05-20 06:36:33,96%,3532mAh
6,2024-05-20 06:38:31,95%,3490mAh
7,2024-05-20 06:40:33,94%,3453mAh
8,2024-05-20 06:42:35,93%,3416mAh
9,2024-05-20 06:44:33,92%,3379mAh
10,2024-05-20 06:46:35,91%,3342mAh
11,2024-05-20 06:48:32,90%,3304mAh
12,2024-05-20 06:50:34,89%,3267mAh
13,2024-05-20 06:52:32,88%,3229mAh
14,2024-05-20 06:54:34,87%,3192mAh
15,2024-05-20 06:56:31,86%,3153mAh
16,2024-05-20 06:57:32,85%,3133mAh
17,2024-05-20 06:59:35,84%,3093mAh
18,2024-05-20 07:01:32,83%,3052mAh
19,2024-05-20 07:03:34,82%,3011mAh
20,2024-05-20 07:05:31,81%,2970mAh
21,2024-05-20 07:06:32,80%,2949mAh
22,2024-05-20 07:08:35,79%,2907mAh
23,2024-05-20 07:10:32,78%,2865mAh
24,2024-05-20 07:12:34,77%,2823mAh
25,2024-05-20 07:13:35,76%,2802mAh
26,2024-05-20 07:15:33,75%,2760mAh
27,2024-05-20 07:17:35,74%,2718mAh
28,2024-05-20 07:18:31,73%,2696mAh
29,2024-05-20 07:20:33,72%,2654mAh
30,2024-05-20 07:22:36,71%,2612mAh
31,2024-05-20 07:24:33,70%,2568mAh
32,2024-05-20 07:25:34,69%,2547mAh
33,2024-05-20 07:27:31,68%,2504mAh
34,2024-05-20 07:29:33,67%,2462mAh
35,2024-05-20 07:30:35,66%,2442mAh
36,2024-05-20 07:32:32,65%,2401mAh
37,2024-05-20 07:34:34,64%,2361mAh
38,2024-05-20 07:36:31,63%,2320mAh
39,2024-05-20 07:38:34,62%,2280mAh
40,2024-05-20 07:39:35,61%,2260mAh
41,2024-05-20 07:41:32,60%,2220mAh
42,2024-05-20 07:43:34,59%,2180mAh
43,2024-05-20 07:45:32,58%,2140mAh
44,2024-05-20 07:47:34,57%,2103mAh
45,2024-05-20 07:49:31,56%,2063mAh
46,2024-05-20 07:50:32,55%,2043mAh
47,2024-05-20 07:52:35,54%,2003mAh
48,2024-05-20 07:54:32,53%,1963mAh
49,2024-05-20 07:56:34,52%,1922mAh
50,2024-05-20 07:58:32,51%,1882mAh
51,2024-05-20 07:59:33,50%,1862mAh
52,2024-05-20 08:01:35,49%,1822mAh
53,2024-05-20 08:03:32,48%,1782mAh
54,2024-05-20 08:05:35,47%,1741mAh
55,2024-05-20 08:07:32,46%,1701mAh
56,2024-05-20 08:08:33,45%,1681mAh
57,2024-05-20 08:10:35,44%,1635mAh
58,2024-05-20 08:12:33,43%,1595mAh
59,2024-05-20 08:14:35,42%,1554mAh
60,2024-05-20 08:15:31,41%,1534mAh
61,2024-05-20 08:17:33,40%,1493mAh
62,2024-05-20 08:19:36,39%,1453mAh
63,2024-05-20 08:21:33,38%,1411mAh
64,2024-05-20 08:23:35,37%,1362mAh
65,2024-05-20 08:24:31,36%,1339mAh
66,2024-05-20 08:26:33,35%,1292mAh
67,2024-05-20 08:27:35,34%,1268mAh
68,2024-05-20 08:29:32,33%,1221mAh
69,2024-05-20 08:30:33,32%,1198mAh
70,2024-05-20 08:32:35,31%,1149mAh
71,2024-05-20 08:33:31,30%,1125mAh
72,2024-05-20 08:35:34,29%,1078mAh
73,2024-05-20 08:36:35,28%,1054mAh
74,2024-05-20 08:38:32,27%,1006mAh
75,2024-05-20 08:39:33,26%,982mAh
76,2024-05-20 08:41:35,25%,935mAh
77,2024-05-20 08:42:31,24%,912mAh
78,2024-05-20 08:44:34,23%,865mAh
79,2024-05-20 08:45:35,22%,842mAh
80,2024-05-20 08:47:32,21%,796mAh
81,2024-05-20 08:49:34,20%,751mAh
82,2024-05-20 08:50:35,19%,728mAh
83,2024-05-20 08:52:32,18%,686mAh
84,2024-05-20 08:54:35,17%,641mAh
85,2024-05-20 08:56:32,16%,596mAh
86,2024-05-20 08:57:33,15%,572mAh
87,2024-05-20 08:59:35,14%,527mAh
88,2024-05-20 09:01:33,13%,482mAh
89,2024-05-20 09:02:34,12%,460mAh
90,2024-05-20 09:04:31,11%,415mAh
91,2024-05-20 09:06:33,10%,362mAh
92,2024-05-20 09:07:34,9%,339mAh
93,2024-05-20 09:09:32,8%,293mAh
94,2024-05-20 09:11:34,7%,250mAh
95,2024-05-20 09:12:35,6%,227mAh
96,2024-05-20 09:14:32,5%,182mAh
97,2024-05-20 09:16:35,4%,139mAh
98,2024-05-20 09:18:32,3%,97mAh
99,2024-05-20 09:19:33,2%,77mAh
